ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade,SaleDateYr,Grade out of 10,Year,Total Enrollment,Undergraduate Enrollment,Graduate Enrollment,CPI_Avg,SaleAmount_2024,Z_score
130016000,86500,1980/08/15 04:00:00+00,3,1950.0,1342.0,B +,1980,7.0,1980.0,16452,11046.0,5406.0,82.38333333333334,329373,-0.1020478970393704
130016000,835000,2024/06/17 04:00:00+00,3,1950.0,1342.0,B +,2024,7.0,2024.0,26470,17901.0,8569.0,313.69783333333334,835000,0.8747953109871801
130018000,138000,1988/07/26 04:00:00+00,4,1978.0,1430.0,B,1988,6.5,1988.0,17168,11197.0,5971.0,118.27499999999999,366013,-0.03126145734747734
130018000,182500,1998/07/01 04:00:00+00,4,1978.0,1430.0,B,1998,6.5,1998.0,20448,13370.0,7078.0,163.00833333333333,351208,-0.05986389292713009
130018000,130000,1987/02/04 05:00:00+00,4,1978.0,1430.0,B,1987,6.5,1987.0,17034,11097.0,5937.0,113.61666666666667,358932,-0.04494155504011639
130019000,215000,1998/05/01 04:00:00+00,4,1959.0,2688.0,B,1998,6.5,1998.0,20448,13370.0,7078.0,163.00833333333333,413752,0.060967632293660284
130021000,214000,1996/06/26 04:00:00+00,4,1950.0,2238.0,B,1996,6.5,1996.0,19789,13129.0,6660.0,156.85833333333332,427974,0.08844374433782248
130021000,367000,2004/01/23 05:00:00+00,4,1950.0,2238.0,B,2004,6.5,2004.0,21691,14129.0,7562.0,188.90833333333333,609433,0.439012427745334
130021000,545000,2007/12/03 05:00:00+00,4,1950.0,2238.0,B,2007,6.5,2007.0,22534,15079.0,7455.0,207.34416666666667,824548,0.8546026290095691
130021000,540000,2016/06/02 04:00:00+00,4,1950.0,2238.0,B,2016,6.5,2016.0,23898,16331.0,7567.0,240.00541666666666,705804,0.6251958333006676
130021000,87000,1982/12/29 05:00:00+00,4,1950.0,2238.0,B,1982,6.5,1982.0,16446,11104.0,5342.0,96.53333333333335,282718,-0.1921827590433352
130023000,47500,1972/06/15 04:00:00+00,5,1951.0,2426.0,B,1972,6.5,1972.0,12907,8204.0,4703.0,41.80833333333333,356403,-0.04982744221208139
130023000,807500,2022/06/02 04:00:00+00,5,1951.0,2426.0,B,2022,6.5,2022.0,26149,17496.0,8653.0,292.6254166666667,865649,0.9340074722894953
130023000,430000,2014/04/11 04:00:00+00,5,1951.0,2426.0,B,2014,6.5,2014.0,23732,16483.0,7249.0,236.715,569841,0.362522888436343
130023000,149000,1984/12/05 05:00:00+00,5,1951.0,2426.0,B,1984,6.5,1984.0,16531,10962.0,5569.0,103.93333333333334,449720,0.13045580540605137
130024000,110000,1993/10/01 04:00:00+00,4,1951.0,2178.0,C,1993,4.5,1993.0,19711,12446.0,7265.0,144.475,238842,-0.27694874779665124
130025000,645000,2022/12/02 05:00:00+00,3,1950.0,1565.0,B +,2022,7.0,2022.0,26149,17496.0,8653.0,292.6254166666667,691447,0.5974589087740162
130025000,90000,1986/01/16 05:00:00+00,3,1950.0,1565.0,B +,1986,7.0,1986.0,16985,11249.0,5736.0,109.69166666666666,257383,-0.24112856825714826
130025000,42500,1974/06/10 04:00:00+00,3,1950.0,1565.0,B +,1974,7.0,1974.0,14382,9358.0,5024.0,49.31666666666666,270337,-0.21610216160407014
130025000,325000,2004/01/05 05:00:00+00,3,1950.0,1565.0,B +,2004,7.0,2004.0,21691,14129.0,7562.0,188.90833333333333,539689,0.3042709034584511
130026000,125000,1996/11/15 05:00:00+00,2,1950.0,982.0,B +,1996,7.0,1996.0,19789,13129.0,6660.0,156.85833333333332,249984,-0.2554230242418731
130027000,575000,2023/01/05 05:00:00+00,3,1954.0,1280.0,B,2023,6.5,2023.0,25944,17618.0,8326.0,304.70416666666665,591971,0.4052768161214302
130027000,149500,1996/06/12 04:00:00+00,3,1954.0,1280.0,B,1996,6.5,1996.0,19789,13129.0,6660.0,156.85833333333332,298982,-0.160761616708484
130027000,94900,1988/08/08 04:00:00+00,3,1954.0,1280.0,B,1988,6.5,1988.0,17168,11197.0,5971.0,118.27499999999999,251700,-0.2521078077977877
130028000,85000,1987/12/01 05:00:00+00,4,1951.0,2435.0,B +,1987,7.0,1987.0,17034,11097.0,5937.0,113.61666666666667,234686,-0.2849779083686902
130028000,104500,1988/04/22 04:00:00+00,4,1951.0,2435.0,B +,1988,7.0,1988.0,17168,11197.0,5971.0,118.27499999999999,277162,-0.20291664165600326
130031000,160000,1998/09/08 04:00:00+00,4,1951.0,1186.0,B +,1998,7.0,1998.0,20448,13370.0,7078.0,163.00833333333333,307908,-0.14351708175515873
130031000,379000,2010/04/28 04:00:00+00,4,1951.0,1186.0,B +,2010,7.0,2010.0,24391,15595.0,8796.0,218.0761666666667,545183,0.3148850055236056
130031000,46277,1976/08/03 04:00:00+00,4,1951.0,1186.0,B +,1976,7.0,1976.0,15529,10080.0,5449.0,56.93333333333334,254982,-0.24576716655682718
130033000,500000,2017/10/03 04:00:00+00,2,2019.0,1216.0,B,2017,6.5,2017.0,24360,16655.0,7705.0,245.121,639883,0.49784013212901695
130033000,85000,1984/01/03 05:00:00+00,2,2019.0,1216.0,B,1984,6.5,1984.0,16531,10962.0,5569.0,103.93333333333334,256552,-0.24273401398269312
130038000,206000,1993/08/17 04:00:00+00,4,2022.0,4786.0,A -,1993,8.0,1993.0,19711,12446.0,7265.0,144.475,447286,0.1257534529439862
130038000,401200,2001/10/01 04:00:00+00,4,2022.0,4786.0,A -,2001,8.0,2001.0,21133,13766.0,7367.0,177.04166666666666,710881,0.6350043145865776
130038000,537500,2019/12/06 05:00:00+00,4,2022.0,4786.0,A -,2019,8.0,2019.0,25018,17011.0,8007.0,255.65258333333335,659537,0.5358105656908201
130038000,255000,1996/05/10 04:00:00+00,4,2022.0,4786.0,A -,1996,8.0,1996.0,19789,13129.0,6660.0,156.85833333333332,509969,0.24685351842452474
130040000,220000,2003/09/02 04:00:00+00,4,1951.0,1916.0,B,2003,6.5,2003.0,21446,13829.0,7617.0,184.0,375073,-0.013758041855977583
130040000,107500,1990/09/13 04:00:00+00,4,1951.0,1916.0,B,1990,6.5,1990.0,17662,11304.0,6358.0,130.65833333333333,258096,-0.23975109196074215
130042000,300000,2020/04/14 04:00:00+00,2,1951.0,1283.0,C,2020,4.5,2020.0,25642,17314.0,8328.0,258.85575,363559,-0.03600244869583721
130042000,32000,1968/09/10 04:00:00+00,2,1951.0,1283.0,C,1968,4.5,1968.0,9011,5342.0,3669.0,34.791666666666664,288526,-0.1809620264633539
130043000,94500,1981/05/15 04:00:00+00,3,1951.0,1400.0,B++,1981,7.5,1981.0,16420,11053.0,5367.0,90.93333333333334,326001,-0.10856241326865707
130043000,97200,1986/05/05 04:00:00+00,3,1951.0,1400.0,B++,1986,7.5,1986.0,16985,11249.0,5736.0,109.69166666666666,277973,-0.20134983481675311
130045100,180000,2000/07/12 04:00:00+00,5,1954.0,3300.0,B,2000,6.5,2000.0,20810,13718.0,7092.0,172.1916666666667,327923,-0.10484921629573625
130045200,219950,2001/01/31 05:00:00+00,3,1954.0,1458.0,B +,2001,7.0,2001.0,21133,13766.0,7367.0,177.04166666666666,389726,0.014550738187835434
130045200,144000,1991/07/01 04:00:00+00,3,1954.0,1458.0,B +,1991,7.0,1991.0,17606,11306.0,6300.0,136.16666666666666,331744,-0.09746725706913353
130045200,140000,1990/07/05 04:00:00+00,3,1954.0,1458.0,B +,1990,7.0,1990.0,17662,11304.0,6358.0,130.65833333333333,336126,-0.08900147708196444
130045200,531000,2021/05/19 04:00:00+00,3,1954.0,1458.0,B +,2021,7.0,2021.0,26026,17299.0,8727.0,270.96791666666667,614735,0.4492555965020594
130045200,422000,2014/11/17 05:00:00+00,3,1954.0,1458.0,B +,2014,7.0,2014.0,23732,16483.0,7249.0,236.715,559239,0.34204041481152175
130047000,122500,1988/05/17 04:00:00+00,4,1952.0,2640.0,B,1988,6.5,1988.0,17168,11197.0,5971.0,118.27499999999999,324903,-0.11068368812623616
130047000,230000,2000/09/20 04:00:00+00,4,1952.0,2640.0,B,2000,6.5,2000.0,20810,13718.0,7092.0,172.1916666666667,419012,0.07112965938916677
130047000,625000,2020/02/24 05:00:00+00,4,1952.0,2640.0,B,2020,6.5,2020.0,25642,17314.0,8328.0,258.85575,757414,0.7249034793841448
130049000,35000,1971/08/30 04:00:00+00,4,1952.0,2037.0,B +,1971,7.0,1971.0,12351,7617.0,4734.0,40.483333333333334,271208,-0.2144194381059359
130050000,464000,2005/09/30 04:00:00+00,3,1955.0,1737.0,B++,2005,7.5,2005.0,22071,14213.0,7858.0,195.26666666666665,745420,0.7017317392732123
130050000,164000,1997/03/31 04:00:00+00,3,1955.0,1737.0,B++,1997,7.5,1997.0,20262,13246.0,7016.0,160.525,320488,-0.11921322227579151
130050000,250000,2001/03/28 04:00:00+00,3,1955.0,1737.0,B++,2001,7.5,2001.0,21133,13766.0,7367.0,177.04166666666666,442971,0.11741711322590437
130050100,84000,1985/05/03 04:00:00+00,4,1956.0,1762.0,B,1985,6.5,1985.0,16889,11195.0,5694.0,107.60000000000001,244894,-0.2652566208038746
130050100,39000,1975/05/30 04:00:00+00,4,1956.0,1762.0,B,1975,6.5,1975.0,15179,9770.0,5409.0,53.824999999999996,227296,-0.2992549768545824
130050100,293000,2013/12/20 05:00:00+00,4,1956.0,1762.0,B,2013,6.5,2013.0,23464,16087.0,7377.0,232.95174999999998,394560,0.023889757005264772
130051000,123500,1986/05/20 04:00:00+00,3,1955.0,2188.0,B,1986,6.5,1986.0,16985,11249.0,5736.0,109.69166666666666,353187,-0.056040575128269376
130051000,79000,1978/10/18 04:00:00+00,3,1955.0,2188.0,B,1978,6.5,1978.0,16179,10562.0,5617.0,65.24166666666666,379851,-0.004527211920173407
130051000,375000,2002/05/10 04:00:00+00,3,1955.0,2188.0,B,2002,6.5,2002.0,21536,13805.0,7731.0,179.86666666666667,654021,0.5251539608507414
130051100,310000,2003/08/01 04:00:00+00,7,2012.0,4728.0,A++,2003,10.0,2003.0,21446,13829.0,7617.0,184.0,528512,0.2826775618526572
130051100,135000,1992/09/21 04:00:00+00,7,2012.0,4728.0,A++,1992,10.0,1992.0,19867,12614.0,7253.0,140.30833333333334,301829,-0.15526137124443323
130054000,39750,1975/10/31 04:00:00+00,4,1953.0,1432.0,B,1975,6.5,1975.0,15179,9770.0,5409.0,53.824999999999996,231667,-0.2908104482548754
130054000,180000,2002/06/20 04:00:00+00,4,1953.0,1432.0,B,2002,6.5,2002.0,21536,13805.0,7731.0,179.86666666666667,313930,-0.13188291309182412
130054100,167000,1992/02/28 05:00:00+00,4,1952.0,2307.0,B +,1992,7.0,1992.0,19867,12614.0,7253.0,140.30833333333334,373374,-0.017040415246712473
130054100,155000,1998/06/01 04:00:00+00,4,1952.0,2307.0,B +,1998,7.0,1998.0,20448,13370.0,7078.0,163.00833333333333,298286,-0.1621062499515396
130054100,150000,1990/10/19 04:00:00+00,4,1952.0,2307.0,B +,1990,7.0,1990.0,17662,11304.0,6358.0,130.65833333333333,360135,-0.0426174260294901
130055000,360000,2014/04/17 04:00:00+00,3,1953.0,2308.0,B,2014,6.5,2014.0,23732,16483.0,7249.0,236.715,477076,0.183306074079944
130055000,589000,2020/09/15 04:00:00+00,3,1953.0,2308.0,B,2020,6.5,2020.0,25642,17314.0,8328.0,258.85575,713787,0.6406185447651978
130055100,76000,1987/08/17 04:00:00+00,2,1954.0,1170.0,B +,1987,7.0,1987.0,17034,11097.0,5937.0,113.61666666666667,209837,-0.33298479264554204
130055100,125000,1999/09/17 04:00:00+00,2,1954.0,1170.0,B +,1999,7.0,1999.0,20794,13576.0,7218.0,166.58333333333334,235391,-0.28361588762680195
130055100,69500,1981/12/08 05:00:00+00,2,1954.0,1170.0,B +,1981,7.0,1981.0,16420,11053.0,5367.0,90.93333333333334,239758,-0.27517908680435393
130056000,52500,1978/03/01 05:00:00+00,3,1954.0,1034.0,B +,1978,7.0,1978.0,16179,10562.0,5617.0,65.24166666666666,252432,-0.2506936245594016
130056000,290000,2010/06/14 04:00:00+00,3,1954.0,1034.0,B +,2010,7.0,2010.0,24391,15595.0,8796.0,218.0761666666667,417158,0.06754783462964795
130065000,651400,2016/11/02 04:00:00+00,4,1957.0,3368.0,A -,2016,8.0,2016.0,23898,16331.0,7567.0,240.00541666666666,851408,0.9064946533033531
130065000,1850000,2024/07/10 04:00:00+00,4,1957.0,3368.0,A -,2024,8.0,2024.0,26470,17901.0,8569.0,313.69783333333334,1850000,2.835718790443279
130065000,216000,1997/04/25 04:00:00+00,4,1957.0,3368.0,A -,1997,8.0,1997.0,20262,13246.0,7016.0,160.525,422107,0.07710902704327181
130065000,90000,1978/09/05 04:00:00+00,4,1957.0,3368.0,A -,1978,8.0,1978.0,16179,10562.0,5617.0,65.24166666666666,432741,0.09765332288616457
130067000,368900,2003/07/09 04:00:00+00,3,1951.0,2805.0,B,2003,6.5,2003.0,21446,13829.0,7617.0,184.0,628930,0.4766795460497237
130067000,110000,1987/07/02 04:00:00+00,3,1951.0,2805.0,B,1987,6.5,1987.0,17034,11097.0,5937.0,113.61666666666667,303712,-0.15162352009978708
130068000,851989,2021/04/21 04:00:00+00,4,1951.0,2266.0,B++,2021,7.5,2021.0,26026,17299.0,8727.0,270.96791666666667,986342,1.1671796274678155
130068000,290000,2002/07/08 04:00:00+00,4,1951.0,2266.0,B++,2002,7.5,2002.0,21536,13805.0,7731.0,179.86666666666667,505776,0.23875287591284058
130068000,165000,1990/02/21 05:00:00+00,4,1951.0,2266.0,B++,1990,7.5,1990.0,17662,11304.0,6358.0,130.65833333333333,396148,0.02695768457706407
130068000,116500,1988/03/21 04:00:00+00,4,1951.0,2266.0,B++,1988,7.5,1988.0,17168,11197.0,5971.0,118.27499999999999,308990,-0.14142671800661538
130069000,33500,1970/06/01 04:00:00+00,5,1952.0,2784.0,B +,1970,7.0,1970.0,10852,6576.0,4276.0,38.84166666666667,270556,-0.21567906579914314
130069000,830000,2021/06/04 04:00:00+00,5,1952.0,2784.0,B +,2021,7.0,2021.0,26026,17299.0,8727.0,270.96791666666667,960885,1.1179981210476049
130069000,445000,2015/09/22 04:00:00+00,5,1952.0,2784.0,B +,2015,7.0,2015.0,23883,16736.0,7147.0,237.00175000000002,589006,0.39954860122824065
130070000,265000,2002/07/08 04:00:00+00,3,1951.0,1464.0,B++,2002,7.5,2002.0,21536,13805.0,7731.0,179.86666666666667,462175,0.1545181718460767
130070000,897000,2023/06/02 04:00:00+00,3,1951.0,1464.0,B++,2023,7.5,2023.0,25944,17618.0,8326.0,304.70416666666665,923475,1.0457240842333657
130070000,133500,1989/08/14 04:00:00+00,3,1951.0,1464.0,B++,1989,7.5,1989.0,17444,11199.0,6245.0,123.94166666666666,337890,-0.08559352731077179
130070000,435000,2006/11/21 05:00:00+00,3,1951.0,1464.0,B++,2006,7.5,2006.0,22371,14678.0,7693.0,201.5583333333333,677017,0.5695809523123891
130070000,158000,1997/12/05 05:00:00+00,3,1951.0,1464.0,B++,1997,7.5,1997.0,20262,13246.0,7016.0,160.525,308763,-0.14186526936606023
130070000,491000,2014/07/03 04:00:00+00,3,1951.0,1464.0,B++,2014,7.5,2014.0,23732,16483.0,7249.0,236.715,650679,0.5186974029508968
130072000,525000,2005/09/02 04:00:00+00,3,1956.0,1801.0,A +,2005,9.0,2005.0,22071,14213.0,7858.0,195.26666666666665,843417,0.8910564862843052
130072000,614500,2016/07/27 04:00:00+00,3,1956.0,1801.0,A +,2016,9.0,2016.0,23898,16331.0,7567.0,240.00541666666666,803179,0.8133189109479954
130072000,1415000,2022/05/09 04:00:00+00,3,1956.0,1801.0,A +,2022,9.0,2022.0,26149,17496.0,8653.0,292.6254166666667,1516896,2.192180411427767
130072100,555100,2013/10/01 04:00:00+00,3,1954.0,2050.0,B++,2013,7.5,2013.0,23464,16087.0,7377.0,232.95174999999998,747509,0.7057675709466938
130072100,203500,1996/10/18 04:00:00+00,3,1954.0,2050.0,B++,1996,7.5,1996.0,19789,13129.0,6660.0,156.85833333333332,406975,0.0478748456727007
130072100,439000,2004/06/03 04:00:00+00,3,1954.0,2050.0,B++,2004,7.5,2004.0,21691,14129.0,7562.0,188.90833333333333,728995,0.6699995539036887
130072100,1155000,2024/09/17 04:00:00+00,3,1954.0,2050.0,B++,2024,7.5,2024.0,26470,17901.0,8569.0,313.69783333333334,1155000,1.4930174917024033
130073100,715000,2016/11/18 05:00:00+00,4,1955.0,1757.0,B++,2016,7.5,2016.0,23898,16331.0,7567.0,240.00541666666666,934537,1.067095252242965
130073100,175000,1984/08/23 04:00:00+00,4,1955.0,1757.0,B++,1984,7.5,1984.0,16531,10962.0,5569.0,103.93333333333334,528195,0.28206513550488616
130075000,216000,1994/07/01 04:00:00+00,1,1952.0,770.0,B,1994,6.5,1994.0,19724,12568.0,7156.0,148.225,457134,0.1447792405554972
130076000,169000,1994/11/23 05:00:00+00,3,1951.0,1366.0,B++,1994,7.5,1994.0,19724,12568.0,7156.0,148.225,357665,-0.04738932848688573
130077000,87000,1979/07/31 04:00:00+00,5,2009.0,3804.0,A -,1979,8.0,1979.0,16464,10838.0,5626.0,72.58333333333333,376005,-0.011957469754644496
130077000,253000,2008/11/18 05:00:00+00,5,2009.0,3804.0,A -,2008,8.0,2008.0,22813,15207.0,7606.0,215.25424999999998,368706,-0.02605873130789579
130079000,293500,1999/07/20 04:00:00+00,3,1951.0,2393.0,B++,1999,7.5,1999.0,20794,13576.0,7218.0,166.58333333333334,552698,0.32940356704883966
130079000,165000,1996/06/27 04:00:00+00,3,1951.0,2393.0,B++,1996,7.5,1996.0,19789,13129.0,6660.0,156.85833333333332,329980,-0.1008752068403262
130079000,350000,2001/08/31 04:00:00+00,3,1951.0,2393.0,B++,2001,7.5,2001.0,21133,13766.0,7367.0,177.04166666666666,620160,0.4597363944094971
130080000,196500,1998/12/02 05:00:00+00,3,1951.0,1362.0,B,1998,6.5,1998.0,20448,13370.0,7078.0,163.00833333333333,378150,-0.007813449199537765
130080000,652500,2023/06/06 04:00:00+00,3,1951.0,1362.0,B,2023,6.5,2023.0,25944,17618.0,8326.0,304.70416666666665,671759,0.5594227891055121
160010000,89500,1978/12/04 05:00:00+00,5,1950.0,2609.0,B,1978,6.5,1978.0,16179,10562.0,5617.0,65.24166666666666,430337,0.09300892875354146
160011000,415000,1997/10/30 04:00:00+00,6,1950.0,1872.0,B +,1997,7.0,1997.0,20262,13246.0,7016.0,160.525,810992,0.8284131918790205
160013000,87000,1984/11/15 05:00:00+00,6,1986.0,2080.0,B,1984,6.5,1984.0,16531,10962.0,5569.0,103.93333333333334,262588,-0.2310727980989522
160013000,600000,2020/02/28 05:00:00+00,6,1986.0,2080.0,B,2020,6.5,2020.0,25642,17314.0,8328.0,258.85575,727118,0.666373294424931
160014000,113000,1998/01/14 05:00:00+00,4,1959.0,1628.0,B,1998,6.5,1998.0,20448,13370.0,7078.0,163.00833333333333,217460,-0.31825758113431657
160014000,240000,2005/09/16 04:00:00+00,4,1959.0,1628.0,B,2005,6.5,2005.0,22071,14213.0,7858.0,195.26666666666665,385562,0.006506122061278592
160014000,68000,1986/09/10 04:00:00+00,4,1959.0,1628.0,B,1986,6.5,1986.0,16985,11249.0,5736.0,109.69166666666666,194467,-0.36267877676302007
160014000,132000,1999/06/03 04:00:00+00,4,1959.0,1628.0,B,1999,6.5,1999.0,20794,13576.0,7218.0,166.58333333333334,248572,-0.258150929614279
160014000,32000,1976/09/03 04:00:00+00,4,1959.0,1628.0,B,1976,6.5,1976.0,15529,10080.0,5449.0,56.93333333333334,176317,-0.39774356607546163
160018100,550000,2009/03/24 04:00:00+00,12,1980.0,2624.0,C++,2009,5.5,2009.0,24355,15476.0,8879.0,214.56466666666665,804110,0.8151175511050137
160018100,345000,1985/01/29 05:00:00+00,12,1980.0,2624.0,C++,1985,5.5,1985.0,16889,11195.0,5694.0,107.60000000000001,1005815,1.2048003791086517
160018100,205000,1993/05/20 04:00:00+00,12,1980.0,2624.0,C++,1993,5.5,1993.0,19711,12446.0,7265.0,144.475,445115,0.12155920183669636
160022000,420000,2009/09/23 04:00:00+00,4,1952.0,1997.0,B,2009,6.5,2009.0,24355,15476.0,8879.0,214.56466666666665,614048,0.4479283507578364
160025000,117000,1991/07/19 04:00:00+00,4,1955.0,1988.0,C++,1991,5.5,1991.0,17606,11306.0,6300.0,136.16666666666666,269542,-0.2176380573342845
160025000,329000,2004/04/09 04:00:00+00,4,1955.0,1988.0,C++,2004,5.5,2004.0,21691,14129.0,7562.0,188.90833333333333,546331,0.31710287759692146
160025000,460000,2018/02/05 05:00:00+00,4,1955.0,1988.0,C++,2018,5.5,2018.0,24639,16777.0,7862.0,251.0995,574676,0.3718638391980871
160025100,3702,1984/08/13 04:00:00+00,4,1954.0,1280.0,C++,1984,5.5,1984.0,16531,10962.0,5569.0,103.93333333333334,11173,-0.7167925779880705
160025100,28000,1970/09/25 04:00:00+00,4,1954.0,1280.0,C++,1970,5.5,1970.0,10852,6576.0,4276.0,38.84166666666667,226137,-0.30149410031536034
160028000,33000,1976/06/01 04:00:00+00,4,1978.0,2188.0,B,1976,6.5,1976.0,15529,10080.0,5449.0,56.93333333333334,181827,-0.3870985529012714
160039000,55000,1976/08/31 04:00:00+00,1,1971.0,720.0,C,1976,4.5,1976.0,15529,10080.0,5449.0,56.93333333333334,303045,-0.1529121269577154
160042000,360000,2007/07/30 04:00:00+00,4,2008.0,2042.0,B +,2007,7.0,2007.0,22534,15079.0,7455.0,207.34416666666667,544655,0.3138649389254255
160042000,88500,1994/08/16 04:00:00+00,4,2008.0,2042.0,B +,1994,7.0,1994.0,19724,12568.0,7156.0,148.225,187298,-0.3765288855553558
160042000,102250,1994/05/24 04:00:00+00,4,2008.0,2042.0,B +,1994,7.0,1994.0,19724,12568.0,7156.0,148.225,216398,-0.3203093059965652
160043100,229000,2004/08/25 04:00:00+00,4,1955.0,1008.0,C +,2004,5.0,2004.0,21691,14129.0,7562.0,188.90833333333333,380273,-0.0037119314193552063
160043100,25000,1972/12/14 05:00:00+00,4,1955.0,1008.0,C +,1972,5.0,1972.0,12907,8204.0,4703.0,41.80833333333333,187580,-0.3759840772586005
160043100,340000,2005/10/26 04:00:00+00,4,1955.0,1008.0,C +,2005,5.0,2005.0,22071,14213.0,7858.0,195.26666666666665,546213,0.31687490816778274
160043200,65000,1988/08/18 04:00:00+00,6,1953.0,1312.0,C +,1988,5.0,1988.0,17168,11197.0,5971.0,118.27499999999999,172397,-0.40531678778922314
160043300,235000,2005/12/16 05:00:00+00,5,1954.0,1064.0,C +,2005,5.0,2005.0,22071,14213.0,7858.0,195.26666666666665,377529,-0.009013186618988245
160043300,22500,1968/12/17 05:00:00+00,5,1954.0,1064.0,C +,1968,5.0,1968.0,9011,5342.0,3669.0,34.791666666666664,202870,-0.34644464868630126
160043400,111702,1991/01/16 05:00:00+00,9,1954.0,1862.0,C +,1991,5.0,1991.0,17606,11306.0,6300.0,136.16666666666666,257336,-0.2412193696399408
160043500,82500,1984/09/17 04:00:00+00,5,1954.0,1115.0,C +,1984,5.0,1984.0,16531,10962.0,5569.0,103.93333333333334,249006,-0.257312465781684
160043500,1,1994/05/16 04:00:00+00,5,1954.0,1115.0,C +,1994,5.0,1994.0,19724,12568.0,7156.0,148.225,2,-0.738374327927976
160043600,60000,1976/12/01 05:00:00+00,4,1954.0,1939.0,B,1976,6.5,1976.0,15529,10080.0,5449.0,56.93333333333334,330594,-0.09968899303107887
160043600,406000,2015/09/28 04:00:00+00,4,1954.0,1939.0,B,2015,6.5,2015.0,23883,16736.0,7147.0,237.00175000000002,537385,0.2998197037573015
160044000,335000,2005/07/06 04:00:00+00,4,1990.0,2240.0,C,2005,4.5,2005.0,22071,14213.0,7858.0,195.26666666666665,538180,0.3013555994875159
160050000,65000,1977/09/01 04:00:00+00,1,1953.0,493.0,C,1977,4.5,1977.0,15903,10330.0,5573.0,60.61666666666667,336382,-0.08850689933739227
160063100,970000,2024/01/31 05:00:00+00,4,1973.0,2464.0,C,2024,4.5,2024.0,26470,17901.0,8569.0,313.69783333333334,970000,1.135607793476415
160063100,6500,1972/08/22 04:00:00+00,4,1973.0,2464.0,C,1972,4.5,1972.0,12907,8204.0,4703.0,41.80833333333333,48771,-0.6441553356426611
160064000,31400,1970/10/02 04:00:00+00,4,1967.0,2048.0,C,1970,4.5,1970.0,10852,6576.0,4276.0,38.84166666666667,253596,-0.24844484137704997
160064000,105000,1993/06/11 04:00:00+00,4,1967.0,2048.0,C,1993,4.5,1993.0,19711,12446.0,7265.0,144.475,227985,-0.2979238672217299
160064100,32000,1973/05/01 04:00:00+00,4,1966.0,1736.0,C,1973,4.5,1973.0,13732,8873.0,4859.0,44.425000000000004,225961,-0.3018341225147537
160065000,84800,1993/11/24 05:00:00+00,8,1950.0,2415.0,B -,1993,6.0,1993.0,19711,12446.0,7265.0,144.475,184125,-0.3826589448660102
160066000,31400,1970/10/02 04:00:00+00,4,1967.0,2048.0,C +,1970,5.0,1970.0,10852,6576.0,4276.0,38.84166666666667,253596,-0.24844484137704997
160066000,105000,1993/06/11 04:00:00+00,4,1967.0,2048.0,C +,1993,5.0,1993.0,19711,12446.0,7265.0,144.475,227985,-0.2979238672217299
160066100,246000,2014/08/28 04:00:00+00,4,1967.0,2048.0,C,2014,4.5,2014.0,23732,16483.0,7249.0,236.715,326002,-0.10856048132434232
160066100,43000,1976/08/25 04:00:00+00,4,1967.0,2048.0,C,1976,4.5,1976.0,15529,10080.0,5449.0,56.93333333333334,236926,-0.28065035310368364
160066100,501000,2024/09/25 04:00:00+00,4,1967.0,2048.0,C,2024,4.5,2024.0,26470,17901.0,8569.0,313.69783333333334,501000,0.22952590986566587
160067000,93500,1987/06/05 04:00:00+00,6,1962.0,1040.0,C +,1987,5.0,1987.0,17034,11097.0,5937.0,113.61666666666667,258155,-0.2396371072461728
160067000,91430,1990/03/01 05:00:00+00,6,1962.0,1040.0,C +,1990,5.0,1990.0,17662,11304.0,6358.0,130.65833333333333,219514,-0.3142893675118507
160078000,95450,1988/04/15 04:00:00+00,6,1981.0,1296.0,B,1988,6.5,1988.0,17168,11197.0,5971.0,118.27499999999999,253159,-0.2492891010425892
160082000,25000,2004/12/30 05:00:00+00,5,1950.0,2044.0,C,2004,4.5,2004.0,21691,14129.0,7562.0,188.90833333333333,41514,-0.6581754555346936
160082000,310000,2014/10/15 04:00:00+00,5,1950.0,2044.0,C,2014,4.5,2014.0,23732,16483.0,7249.0,236.715,410816,0.055295443785598114
160082000,121050,1996/03/04 05:00:00+00,5,1950.0,2044.0,C,1996,4.5,1996.0,19789,13129.0,6660.0,156.85833333333332,242085,-0.2706834523839654
160086000,230000,2006/01/04 05:00:00+00,4,1950.0,1428.0,C +,2006,5.0,2006.0,22371,14678.0,7693.0,201.5583333333333,357963,-0.04681360908109467
160086000,62000,1988/04/26 04:00:00+00,4,1950.0,1428.0,C +,1988,5.0,1988.0,17168,11197.0,5971.0,118.27499999999999,164441,-0.4206873367572554
160099100,190000,2018/06/01 04:00:00+00,3,1985.0,1098.0,C +,2018,5.0,2018.0,24639,16777.0,7862.0,251.0995,237366,-0.2798002976052002
160099100,83000,1997/06/27 04:00:00+00,3,1985.0,1098.0,C +,1997,5.0,1997.0,20262,13246.0,7016.0,160.525,162198,-0.42502068785520614
160099100,75000,1993/11/24 05:00:00+00,3,1985.0,1098.0,C +,1993,5.0,1993.0,19711,12446.0,7265.0,144.475,162847,-0.42376685599494307
160099100,155000,2005/08/24 04:00:00+00,3,1985.0,1098.0,C +,2005,5.0,2005.0,22071,14213.0,7858.0,195.26666666666665,249009,-0.25730666994873974
